Ano,Mês,Semana,Data Início,Data Fim,Pesado SE,Médio SE,Leve SE,Pesado S,Médio S,Leve S,Pesado NE,Médio NE,Leve NE,Pesado N,Médio N,Leve N
2020,1,1,28/12/2019,3/1/2020,"294,99","294,02","287,17","294,99","294,02","287,17","294,99","294,02","287,17","294,99","294,02","287,17"
2020,1,2,4/1/2020,10/1/2020,"372,89","370,48","365,27","372,89","370,48","365,27","372,89","370,48","365,27","372,89","370,48","365,27"
2020,1,3,11/1/2020,17/01/2020,"274,63","270,96","263,77","274,63","270,96","263,77","274,63","270,96","263,77","274,63","270,96","263,77"
2020,1,4,18/01/2020,24/01/2020,"362,03","356,87","351,38","362,03","356,87","351,38","362,03","356,87","351,38","362,03","356,87","351,38"
2020,1,5,25/01/2020,31/01/2020,"340,67","335,88","327,64","340,67","335,88","327,64","340,67","333,25","327,64","340,67","333,25","327,64"
2020,2,1,1/2/2020,7/2/2020,"194,01","192,01","188,88","194,01","192,19","188,88","194,01","192,01","188,88","194,01",192,"188,88"
2020,2,2,8/2/2020,14/02/2020,"154,21","151,1","148,7","200,34","197,08","148,7","154,21","151,1","148,7","151,03","151,03","148,7"
2020,2,3,15/02/2020,21/02/2020,"149,81","149,27","142,58","200,24","196,73","142,58","149,81","144,89","142,58","132,63","132,63","132,63"
2020,2,4,22/02/2020,28/02/2020,"149,59","145,87","141,05","235,35","230,22","141,05","126,79","126,13","125,33","39,68","39,68","39,68"
2020,3,1,29/02/2020,6/3/2020,"60,35","59,34","57,34","76,13","75,46","57,34","60,35","59,34","57,34","57,34","57,34","57,34"
2020,3,2,7/3/2020,13/03/2020,"90,43","88,46","83,72","230,47","228,12","83,72","85,58","85,58","83,72","39,68","39,68","39,68"
2020,3,3,14/03/2020,20/03/2020,"103,78","103,13","98,16","348,16","340,79","98,16","99,74","99,74","98,16","39,68","39,68","39,68"
2020,3,4,21/03/2020,27/03/2020,"105,7","105,46","98,22","303,41","298,2","98,22","39,68","39,68","39,68","39,68","39,68","39,68"
2020,4,1,28/03/2020,3/4/2020,"39,68","39,68","39,68","39,68","39,68","39,68","39,68","39,68","39,68","39,68","39,68","39,68"
